Product name;Category;Price;Items in box;Features;Quantity;Taxes;Date added;Status;Language;Product code;Weight;Min quantity;List price;Shipping freight;Downloadable;Files;Ship downloadable;Inventory tracking;Free shipping;Feature comparison;Zero price action;Thumbnail;Detailed image;Description;Meta keywords;Meta description;Search words;Page title;Options;Secondary categories;SEO name;Short description;Localizations;Max quantity;Quantity step;List qty count;Out of stock actions;Product URL;Image URL;Detailed image URL;Box size;Store
"Вата глазная н/стер. 50,0";"Медицинские расходные материалы///Вата";"13.80";"min:0;max:0";"";"1";"";"07 Apr 2014 00:00:00";"A";"ru";"proba57";"0.00";"0";"0.00";"0.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"vata-glaznaya-n-ster.-50-0";"";"";"0";"0";"0";"";"http://medinweb.ru/medicinskie-rashodnye-materialy/vata/vata-glaznaya-n-ster.-50-0.html";"";"";"length:0;width:0;height:0";"Simtech"
"Вата глазная н/стер. 100,0";"Медицинские расходные материалы///Вата";"26.22";"min:0;max:0";"";"1";"";"07 Apr 2014 00:00:00";"A";"ru";"proba58";"0.00";"0";"0.00";"0.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"vata-glaznaya-n-ster.-100-0";"";"";"0";"0";"0";"";"http://medinweb.ru/medicinskie-rashodnye-materialy/vata/vata-glaznaya-n-ster.-100-0.html";"";"";"length:0;width:0;height:0";"Simtech"
"Вата глазная н/стер. 250,0";"Медицинские расходные материалы///Вата";"59.51";"min:0;max:0";"";"1";"";"07 Apr 2014 00:00:00";"A";"ru";"proba59";"0.00";"0";"0.00";"0.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"vata-glaznaya-n-ster.-250-0";"";"";"0";"0";"0";"";"http://medinweb.ru/medicinskie-rashodnye-materialy/vata/vata-glaznaya-n-ster.-250-0.html";"";"";"length:0;width:0;height:0";"Simtech"
"Вата гигиеническая 250,0 г.";"Медицинские расходные материалы///Вата";"30.48";"min:0;max:0";"";"1";"";"07 Apr 2014 00:00:00";"A";"ru";"proba60";"0.00";"0";"0.00";"0.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"vata-gigienicheskaya-250-0-g.";"";"";"0";"0";"0";"";"http://medinweb.ru/medicinskie-rashodnye-materialy/vata/vata-gigienicheskaya-250-0-g..html";"";"";"length:0;width:0;height:0";"Simtech"
"Вата хирургическая нестерильная 25,0г";"Медицинские расходные материалы///Вата";"5.23";"min:0;max:0";"";"1";"";"07 Apr 2014 00:00:00";"A";"ru";"proba61";"0.00";"0";"0.00";"0.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"vata-hirurgicheskaya-nesterilnaya-25-0g";"";"";"0";"0";"0";"";"http://medinweb.ru/medicinskie-rashodnye-materialy/vata/vata-hirurgicheskaya-nesterilnaya-25-0g.html";"";"";"length:0;width:0;height:0";"Simtech"
"Вата хирургическая нестерильная 50,0г";"Медицинские расходные материалы///Вата";"7.94";"min:0;max:0";"";"1";"";"07 Apr 2014 00:00:00";"A";"ru";"proba62";"0.00";"0";"0.00";"0.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"vata-hirurgicheskaya-nesterilnaya-50-0g";"";"";"0";"0";"0";"";"http://medinweb.ru/medicinskie-rashodnye-materialy/vata/vata-hirurgicheskaya-nesterilnaya-50-0g.html";"";"";"length:0;width:0;height:0";"Simtech"
"Вата хирургическая нестерильная 100,0г";"Медицинские расходные материалы///Вата";"15.07";"min:0;max:0";"";"1";"";"07 Apr 2014 00:00:00";"A";"ru";"proba63";"0.00";"0";"0.00";"0.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"vata-hirurgicheskaya-nesterilnaya-100-0g";"";"";"0";"0";"0";"";"http://medinweb.ru/medicinskie-rashodnye-materialy/vata/vata-hirurgicheskaya-nesterilnaya-100-0g.html";"";"";"length:0;width:0;height:0";"Simtech"
"Вата хирургическая нестерильная 250,0г";"Медицинские расходные материалы///Вата";"31.11";"min:0;max:0";"";"1";"";"07 Apr 2014 00:00:00";"A";"ru";"proba64";"0.00";"0";"0.00";"0.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"vata-hirurgicheskaya-nesterilnaya-250-0g";"";"";"0";"0";"0";"";"http://medinweb.ru/medicinskie-rashodnye-materialy/vata/vata-hirurgicheskaya-nesterilnaya-250-0g.html";"";"";"length:0;width:0;height:0";"Simtech"
"Вата хирургическая н/с 1кг. в рулоне (за кг)";"Медицинские расходные материалы///Вата";"155.94";"min:0;max:0";"";"1";"";"07 Apr 2014 00:00:00";"A";"ru";"proba65";"0.00";"0";"0.00";"0.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"vata-hirurgicheskaya-n-s-1kg.-v-rulone-za-kg";"";"";"0";"0";"0";"";"http://medinweb.ru/medicinskie-rashodnye-materialy/vata/vata-hirurgicheskaya-n-s-1kg.-v-rulone-za-kg.html";"";"";"length:0;width:0;height:0";"Simtech"
"Вата хирургическая н/с кипная 20 кг (за кг)";"Медицинские расходные материалы///Вата";"135.24";"min:0;max:0";"";"1";"";"07 Apr 2014 00:00:00";"A";"ru";"proba66";"0.00";"0";"0.00";"0.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"vata-hirurgicheskaya-n-s-kipnaya-20-kg-za-kg";"";"";"0";"0";"0";"";"http://medinweb.ru/medicinskie-rashodnye-materialy/vata/vata-hirurgicheskaya-n-s-kipnaya-20-kg-za-kg.html";"";"";"length:0;width:0;height:0";"Simtech"
